Date,Rate,High (est),Low (est)
2015-08-26,2126.84,0.0,0.0
2015-08-25,2132.22,0.0,0.0
2015-08-24,2133.58,2158.0,2109.4
2015-08-21,2122.84,2148.7,2097.3
2015-08-20,2121.94,2146.4,2097.8
2015-08-19,2118.71,2142.4,2095.3
2015-08-18,2129.46,2153.9,2105.3
2015-08-17,2132.13,2157.6,2107.0
2015-08-14,2119.55,0.0,0.0
2015-08-13,2106.27,2129.8,2083.0
2015-08-12,2098.91,2124.4,2073.8
2015-08-11,2103.09,0.0,0.0
2015-08-10,2104.43,2128.5,2080.6
2015-08-07,2109.2,2135.0,2083.7
2015-08-06,2118.64,2142.2,2095.4
2015-08-05,2121.17,2147.5,2095.2
2015-08-04,2125.69,0.0,0.0
2015-08-03,2122.16,2147.4,2097.3
2015-07-31,2108.34,2132.6,2084.3
2015-07-30,2092.07,2116.3,2068.1
2015-07-29,2080.58,2104.1,2057.4
2015-07-28,2074.87,2099.0,2051.0
2015-07-27,2082.57,2107.2,2058.3
2015-07-24,2102.38,2128.3,2076.8
2015-07-23,2125.9,2152.5,2099.7
2015-07-22,2149.28,0.0,0.0
2015-07-21,2162.14,2186.5,2138.1
